researcher,degree,betweenness,closeness,pagerank
Huang Y.,1.0,0.04129727303332959,0.9197080291970803,0.012037358064130936
Lin M.,1.0,0.04129727303332959,0.9197080291970803,0.012037358064130936
Wang X.,0.29310344827586204,0.03837953091684435,0.5779816513761468,0.009678092762038076
Heath N.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Hardy M.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Hao Y.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Hofmann A.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Solaiman I.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Sinha A.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Sharma D.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Sania J.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Sahoo S.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Jernite Y.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Ji J.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Loehr A.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Jiang Y.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Lamparth M.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Koyejo S.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Kornilova A.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Kochenderfer M.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Klyman K.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Khire I.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Kennedy W.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Habba E.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Biderman S.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Chim J.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Choshen L.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Dhar R.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Friedrich F.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Ghosh A.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Gohar U.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
