step,pct_removed,gcc_size,n_components,diameter,density,attack_type
0,0,64,16,3.0,0.1556661138750691,random_attack
1,1,64,16,3.0,0.15767029514083716,random_attack
2,5,60,16,3.0,0.1576033464566929,random_attack
3,10,53,16,3.0,0.14569031273836766,random_attack
4,20,40,16,3.0,0.13479623824451412,random_attack
5,30,15,17,1.0,0.12056737588652482,random_attack
6,40,0,0,,0.0,random_attack
7,50,0,0,,0.0,random_attack
0,0,64,16,3.0,0.1556661138750691,degree_attack
1,1,63,16,3.0,0.1516103692065986,degree_attack
2,5,41,17,1.0,0.1328740157480315,degree_attack
3,10,28,17,1.0,0.0973302822273074,degree_attack
4,20,16,17,2.0,0.06792058516196448,degree_attack
5,30,5,14,1.0,0.05851063829787234,degree_attack
6,40,0,0,,0.0,degree_attack
7,50,0,0,,0.0,degree_attack
0,0,64,16,3.0,0.1556661138750691,betweenness_attack
1,1,63,16,3.0,0.1516103692065986,betweenness_attack
2,5,46,18,1.0,0.15378937007874016,betweenness_attack
3,10,46,16,1.0,0.1839816933638444,betweenness_attack
4,20,45,13,1.0,0.27586206896551724,betweenness_attack
5,30,6,13,1.0,0.0673758865248227,betweenness_attack
6,40,0,0,,0.0,betweenness_attack
7,50,0,0,,0.0,betweenness_attack
